Papua New Guinea,20,35,45,ABOVE,Moderate-High
Palau,20,35,45,ABOVE,Moderate
Kiribati (Eastern),25,35,40,AVG - ABOVE,Moderate
Solomon Islands,25,35,40,AVG - ABOVE,High
Central Kiribati (Phoenix),25,35,40,AVG - ABOVE,Moderate
Guam,25,35,40,AVG - ABOVE,Moderate
N. Marianas,25,35,40,AVG - ABOVE,Moderate
Tokelau,25,40,35,AVG - ABOVE,Moderate-High
Tonga,20,45,35,NEAR NORMAL,Moderate-High
FSM,20,45,35,NEAR NORMAL,Moderate
Niue,30,40,30,NEAR NORMAL,Moderate
American Samoa,30,40,30,NEAR NORMAL,Moderate
Kiribati (Western),35,35,30,ClIMATOLOGY,Moderate
Nauru,35,35,30,CLIMATOLOGY,Moderate
Marquesas,35,40,25,AVG - BELOW,High
Pitcairn Island,35,40,25,AVG - BELOW,Moderate
Society Islands,35,40,25,AVG - BELOW,Moderate-High
Tuvalu,35,40,25,AVG - BELOW,Moderate
Wallis & Futuna,35,40,25,AVG - BELOW,Moderate
Cook Islands (Southern) ,40,35,25,AVG - BELOW,Moderate
Samoa,40,35,25,AVG - BELOW,Moderate-High
Tuamotu Islands,40,35,25,AVG - BELOW,Moderate-High
Marshall Islands,40,35,25,AVG - BELOW,Moderate
Austral Islands,40,40,20,AVG - BELOW,Moderate-High
Cook Islands (Northern) ,40,40,20,AVG - BELOW,High
New Caledonia,45,35,20,BELOW,Moderate-High
Vanuatu (North),45,35,20,BELOW,Moderate-High
Vanuatu (South),45,35,20,BELOW,Moderate
